cert,year,uninum,county_fips,deposits_kusd
873,2008,186445.0,13215,39630
873,2008,186446.0,13215,33331
873,2008,186447.0,13215,25691
873,2008,186448.0,13215,29366
873,2008,186449.0,13053,36848
873,2008,186450.0,13215,48470
873,2008,186452.0,13215,23289
873,2008,186455.0,13215,58894
873,2008,186457.0,13215,73492
873,2008,186470.0,13215,9061
873,2008,186472.0,13215,15705
873,2008,186475.0,13215,45983
873,2008,186478.0,13215,8469
873,2008,186480.0,13215,26328
873,2008,365539.0,13215,20142
873,2008,453624.0,13215,0
35583,2008,42478.0,47149,554357
35583,2008,81670.0,47189,29991
35583,2008,82012.0,47037,918290
35583,2008,276635.0,47003,44267
35583,2008,276637.0,47149,9138
35583,2008,276638.0,47149,32909
35583,2008,276639.0,47149,49542
35583,2008,276640.0,47149,46555
35583,2008,356490.0,47149,21362
35583,2008,358590.0,47189,96458
35583,2008,360670.0,47187,73141
35583,2008,362594.0,47021,95026
35583,2008,362602.0,47189,25928
35583,2008,365361.0,47037,49432
35583,2008,418783.0,47037,87989
35583,2008,419236.0,47043,40538
35583,2008,419556.0,47149,15956
35583,2008,419806.0,47149,105116
35583,2008,423016.0,47187,97585
35583,2008,423106.0,47187,107238
35583,2008,427750.0,47189,11430
35583,2008,431720.0,47037,37359
35583,2008,438932.0,47187,27455
35583,2008,441458.0,47187,26842
35583,2008,443463.0,47165,60643
35583,2008,447397.0,47037,10145
35583,2008,449793.0,47189,123615
35583,2008,452110.0,47187,23295
35583,2008,461756.0,47037,8655
35583,2008,466479.0,47093,119160
35583,2008,469945.0,47037,6007
35583,2008,473709.0,47037,213505
873,2009,556.0,13215,2786446
873,2009,186443.0,13215,27042
873,2009,186444.0,13215,52627
873,2009,186445.0,13215,34983
873,2009,186446.0,13215,34104
873,2009,186447.0,13215,23971
873,2009,186448.0,13215,28998
873,2009,186449.0,13053,33435
873,2009,186450.0,13215,48889
873,2009,186452.0,13215,24297
873,2009,186455.0,13215,60919
873,2009,186457.0,13215,79503
873,2009,186470.0,13215,13526
873,2009,186472.0,13215,15150
873,2009,186475.0,13215,47095
873,2009,186478.0,13215,9920
873,2009,186480.0,13215,28308
873,2009,365539.0,13215,21923
873,2009,453624.0,13215,0
35583,2009,42478.0,47149,584455
35583,2009,81670.0,47189,18379
35583,2009,82012.0,47037,1466986
35583,2009,276635.0,47003,46429
35583,2009,276637.0,47149,10464
35583,2009,276638.0,47149,22207
35583,2009,276639.0,47149,47462
35583,2009,276640.0,47149,56187
35583,2009,356490.0,47149,19057
35583,2009,358590.0,47189,126156
35583,2009,360670.0,47187,67375
35583,2009,362594.0,47021,98453
35583,2009,362602.0,47189,20523
35583,2009,365361.0,47037,68041
35583,2009,418783.0,47037,112068
35583,2009,419236.0,47043,42170
35583,2009,419556.0,47149,20300
35583,2009,419806.0,47149,79557
35583,2009,423016.0,47187,106487
35583,2009,423106.0,47187,61226
35583,2009,427750.0,47189,6648
35583,2009,431720.0,47037,99803
35583,2009,438932.0,47187,39720
