fips,county_name,state_name,popestimate2020,popestimate2025,domesticmig_2021_2025,netmig_2021_2025,births_2021_2025,deaths_2021_2025
05039,Dallas County,Arkansas,6441,6011,-169,-177,311,564
05041,Desha County,Arkansas,11319,9984,-1082,-1069,565,834
05043,Drew County,Arkansas,17321,17054,-155,-83,985,1166
05045,Faulkner County,Arkansas,123830,133979,7541,8537,7414,5864
05047,Franklin County,Arkansas,17131,17725,980,968,964,1350
05049,Fulton County,Arkansas,12052,12492,1019,1015,596,1185
05051,Garland County,Arkansas,100259,99695,2357,2888,4886,8333
05053,Grant County,Arkansas,18016,18756,981,1012,1007,1279
05055,Greene County,Arkansas,45855,47411,1593,1646,2859,2936
05057,Hempstead County,Arkansas,19993,19080,-842,-688,1242,1458
05059,Hot Spring County,Arkansas,33086,33451,1390,1394,1532,2567
05061,Howard County,Arkansas,12760,12306,-393,-305,776,925
05063,Independence County,Arkansas,37941,38785,951,1119,2315,2567
05065,Izard County,Arkansas,13604,14405,1414,1398,596,1178
05067,Jackson County,Arkansas,16742,16741,445,480,793,1273
05069,Jefferson County,Arkansas,66825,62987,-3118,-2752,3589,4685
05071,Johnson County,Arkansas,25721,26225,558,739,1473,1693
05073,Lafayette County,Arkansas,6294,5888,-179,-143,298,552
05075,Lawrence County,Arkansas,16221,16273,504,531,954,1412
05077,Lee County,Arkansas,8582,8029,-266,-249,404,708
05079,Lincoln County,Arkansas,12893,12764,246,242,513,870
05081,Little River County,Arkansas,11978,11763,151,148,630,978
05083,Logan County,Arkansas,21108,21633,1020,1034,1185,1702
05085,Lonoke County,Arkansas,74065,76664,2218,2461,4310,4168
05087,Madison County,Arkansas,16555,18410,1710,1813,1133,1103
05089,Marion County,Arkansas,16867,17593,1535,1546,616,1457
05091,Miller County,Arkansas,42586,42357,370,336,2356,2926
05093,Mississippi County,Arkansas,40535,37828,-2615,-2346,2544,2881
05095,Monroe County,Arkansas,6769,6244,-238,-214,357,661
05097,Montgomery County,Arkansas,8482,8579,429,439,426,751
05099,Nevada County,Arkansas,8284,7942,-99,-106,406,636
05101,Newton County,Arkansas,7193,7026,77,72,352,589
05103,Ouachita County,Arkansas,22620,21731,-357,-338,1321,1869
05105,Perry County,Arkansas,9996,10309,481,503,502,704
05107,Phillips County,Arkansas,16383,14255,-1950,-1767,1052,1408
